title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
One Flew Over the Cuckoo's Nest,133,Drama,Milos Forman,Lawrence Hauben;Bo Goldman,Jack Nicholson;Louise Fletcher;Will Sampson,8.7,"799,302"
Goodfellas,146,Crime;Drama,Martin Scorsese,Nicholas Pileggi,Robert De Niro;Ray Liotta;Joe Pesci,8.7,"867,138"
The Matrix,136,Action;Sci-Fi,Lilly Wachowski;Lana Wachowski,Lilly Wachowski;Lana Wachowski,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss,8.7,"1,443,673"
Shichinin no samurai,207,Adventure;Drama,Akira Kurosawa,Shinobu Hashimoto;Akira Kurosawa,Toshirô Mifune;Takashi Shimura;Keiko Tsushima,8.7,"272,417"
Cidade de Deus,130,Crime;Drama,Kátia Lund;Fernando Meirelles,Bráulio Mantovani;Paulo Lins,Alexandre Rodrigues;Leandro Firmino;Matheus Nachtergaele,8.6,"621,788"
Se7en,127,Crime;Drama;Mystery,David Fincher,Andrew Kevin Walker,Morgan Freeman;Brad Pitt;Kevin Spacey,8.6,"1,229,905"
Star Wars: Episode IV - A New Hope,121,Action;Adventure;Fantasy,George Lucas,George Lucas,Mark Hamill;Harrison Ford;Carrie Fisher,8.6,"1,080,839"
The Silence of the Lambs,118,Crime;Drama;Thriller,Jonathan Demme,Thomas Harris;Ted Tally,Jodie Foster;Anthony Hopkins;Lawrence A. Bonney,8.6,"1,079,516"
It's a Wonderful Life,130,Drama;Family;Fantasy,Frank Capra,Albert Hackett;Frances Goodrich,James Stewart;Donna Reed;Lionel Barrymore,8.6,"337,924"
La vita è bella,116,Comedy;Drama;Romance,Roberto Benigni,Vincenzo Cerami;Roberto Benigni,Roberto Benigni;Nicoletta Braschi;Giorgio Cantarini,8.6,"525,764"
The Usual Suspects,106,Crime;Mystery;Thriller,Bryan Singer,Christopher McQuarrie,Kevin Spacey;Gabriel Byrne;Chazz Palminteri,8.6,"873,365"
De reis van Chihiro,125,Animation;Adventure;Family,Kirk Wise;Hayao Miyazaki,Hayao Miyazaki,Daveigh Chase;Suzanne Pleshette;Miyu Irino,8.6,"529,299"
Saving Private Ryan,169,Drama;War,Steven Spielberg,Robert Rodat,Tom Hanks;Matt Damon;Tom Sizemore,8.6,"1,060,527"
Léon,110,Crime;Drama;Thriller,Luc Besson,Luc Besson,Jean Reno;Gary Oldman;Natalie Portman,8.6,"882,504"
The Green Mile,189,Crime;Drama;Fantasy,Frank Darabont,Frank Darabont;Stephen King,Tom Hanks;Michael Clarke Duncan;David Morse,8.5,"963,154"
Interstellar,169,Adventure;Drama;Sci-Fi,Christopher Nolan,Christopher Nolan;Jonathan Nolan,Matthew McConaughey;Anne Hathaway;Jessica Chastain,8.6,"1,223,839"
Psycho,109,Horror;Mystery;Thriller,Alfred Hitchcock,Joseph Stefano;Robert Bloch,Anthony Perkins;Janet Leigh;Vera Miles,8.5,"513,226"
American History X,119,Crime;Drama,Tony Kaye,David McKenna,Edward Norton;Edward Furlong;Beverly D'Angelo,8.5,"917,640"
City Lights,87,Comedy;Drama;Romance,Charles Chaplin,Charles Chaplin,Charles Chaplin;Virginia Cherrill;Florence Lee,8.5,"138,983"
Once Upon a Time in the West,165,Western,Sergio Leone,Sergio Donati;Sergio Leone,Henry Fonda;Charles Bronson;Claudia Cardinale,8.5,"260,667"
Casablanca,102,Drama;Romance;War,Michael Curtiz,Julius J. Epstein;Philip G. Epstein,Humphrey Bogart;Ingrid Bergman;Paul Henreid,8.5,"458,598"
Modern Times,87,Comedy;Drama;Family,Charles Chaplin,Charles Chaplin,Charles Chaplin;Paulette Goddard;Henry Bergman,8.5,"180,647"
The Intouchables,112,Biography;Comedy;Drama,Éric Toledano;Olivier Nakache,Philippe Pozzo di Borgo;Olivier Nakache,François Cluzet;Omar Sy;Anne Le Ny,8.5,"640,846"
The Pianist,150,Biography;Drama;Music,Roman Polanski,Ronald Harwood;Wladyslaw Szpilman,Adrien Brody;Thomas Kretschmann;Frank Finlay,8.5,"610,902"
The Departed,151,Crime;Drama;Thriller,Martin Scorsese,William Monahan;Alan Mak,Leonardo DiCaprio;Matt Damon;Jack Nicholson,8.5,"1,034,550"
Terminator 2: Judgment Day,137,Action;Sci-Fi,James Cameron,William Wisher;James Cameron,Arnold Schwarzenegger;Linda Hamilton;Edward Furlong,8.5,"872,747"
Back to the Future,116,Adventure;Comedy;Sci-Fi,Robert Zemeckis,Robert Zemeckis;Bob Gale,Michael J. Fox;Christopher Lloyd;Lea Thompson,8.5,"891,170"
Whiplash,106,Drama;Music,Damien Chazelle,Damien Chazelle,Miles Teller;J.K. Simmons;Melissa Benoist,8.5,"577,262"
Rear Window,112,Mystery;Thriller,Alfred Hitchcock,Cornell Woolrich;John Michael Hayes,James Stewart;Grace Kelly;Wendell Corey,8.5,"382,253"
Indiana Jones and the Raiders of the Lost Ark,115,Action;Adventure,Steven Spielberg,George Lucas;Lawrence Kasdan,Harrison Ford;Karen Allen;Paul Freeman,8.5,"778,967"
Gladiator,155,Action;Adventure;Drama,Ridley Scott,David Franzoni,Russell Crowe;Joaquin Phoenix;Connie Nielsen,8.5,"1,163,020"
The Lion King,88,Animation;Adventure;Drama,Rob Minkoff;Roger Allers,Irene Mecchi;Jonathan Roberts,Matthew Broderick;Jeremy Irons;James Earl Jones,8.5,"792,924"
The Prestige,130,Drama;Mystery;Sci-Fi,Christopher Nolan,Christopher Nolan;Jonathan Nolan,Christian Bale;Hugh Jackman;Scarlett Johansson,8.5,"1,022,850"
Apocalypse Now,147,Drama;War,Francis Ford Coppola,John Milius;Francis Ford Coppola,Martin Sheen;Marlon Brando;Robert Duvall,8.5,"527,703"
Memento,113,Mystery;Thriller,Christopher Nolan,Christopher Nolan;Jonathan Nolan,Guy Pearce;Carrie-Anne Moss;Joe Pantoliano,8.5,"997,509"
Avengers: Infinity War,149,Action;Adventure;Fantasy,Joe Russo;Anthony Russo,Christopher Markus;Stephen McFeely,Robert Downey Jr.;Chris Hemsworth;Mark Ruffalo,8.6,"516,412"
Alien,116,Horror;Sci-Fi,Ridley Scott,Dan O'Bannon;Ronald Shusett,Sigourney Weaver;Tom Skerritt;John Hurt,8.5,"686,524"
De dictator,125,Comedy;Drama;War,Charles Chaplin,Charles Chaplin,Charles Chaplin;Paulette Goddard;Jack Oakie,8.5,"172,117"
Nuovo Cinema Paradiso,155,Drama,Giuseppe Tornatore,Giuseppe Tornatore,Philippe Noiret;Enzo Cannavale;Antonella Attili,8.5,"191,459"
Hotaru no haka,89,Animation;Drama;War,Isao Takahata,Isao Takahata;Akiyuki Nosaka,Tsutomu Tatsumi;Ayano Shiraishi;Akemi Yamaguchi,8.5,"184,613"
